flan-t5-small-self-ask-True,flan-t5-small-self-ask-False,flan-t5-small-direct-True,flan-t5-small-direct-False,flan-t5-small-None-True,flan-t5-small-None-False,t5-small-self-ask-True,t5-small-self-ask-False,t5-small-direct-True,t5-small-direct-False,t5-small-None-True,t5-small-None-False,type
True,True,False,False,True,True,True,True,False,True,False,False,comparison
False,False,False,False,True,True,False,True,False,False,False,False,bridge_comparison
True,True,False,True,False,False,True,True,False,True,False,False,inference
True,True,False,True,True,True,True,True,False,True,False,True,compositional
True,True,True,True,True,True,True,False,False,True,False,False,inference
True,True,False,True,True,True,True,False,False,False,False,False,bridge_comparison
True,True,True,True,True,True,True,False,False,True,True,False,compositional
True,False,False,False,False,False,True,False,False,True,False,False,comparison
False,False,False,False,True,False,False,False,False,False,False,False,comparison
True,True,True,True,True,True,True,True,False,True,False,False,comparison
False,False,False,True,True,True,True,True,True,True,False,False,compositional
True,True,True,False,False,False,True,False,False,False,False,False,bridge_comparison
True,True,True,True,True,False,True,False,False,True,True,False,inference
True,True,False,False,False,False,True,True,False,True,False,False,compositional
False,False,False,False,False,False,False,True,False,True,False,False,bridge_comparison
False,False,False,True,True,True,True,False,False,False,False,False,comparison
False,True,False,False,True,True,False,False,False,True,False,False,bridge_comparison
True,True,True,True,True,True,True,True,False,True,True,True,compositional
True,True,True,True,False,False,True,True,False,True,False,False,inference
False,False,False,False,False,False,False,False,False,True,False,False,comparison
True,True,False,False,True,False,True,False,False,False,False,False,bridge_comparison
True,True,True,True,False,False,True,False,False,True,False,False,comparison
True,True,False,True,False,False,True,False,False,True,False,False,compositional
False,False,False,False,False,False,True,False,False,True,False,False,inference
True,True,True,True,False,False,True,True,False,False,False,False,comparison
True,True,False,True,True,True,True,True,False,True,False,False,comparison
True,True,False,False,True,True,True,False,False,False,True,True,compositional
False,False,False,True,True,True,False,False,False,False,True,True,compositional
True,True,False,True,True,True,True,True,False,True,True,True,compositional
True,True,True,True,True,True,True,False,False,True,False,True,compositional
False,False,False,False,True,True,False,False,False,True,False,False,compositional
False,False,False,False,True,True,False,False,False,False,True,True,compositional
True,True,True,True,True,False,True,False,False,False,False,False,bridge_comparison
True,True,True,True,False,False,True,False,False,True,False,False,inference
True,True,True,True,True,True,True,True,False,True,True,True,compositional
True,True,True,True,False,True,True,False,False,True,False,False,inference
True,True,True,True,True,True,True,False,True,True,True,True,compositional
True,True,False,True,False,False,True,False,False,True,False,False,compositional
False,False,False,False,True,True,False,False,False,False,False,False,compositional
True,True,True,True,True,True,True,True,False,True,True,True,compositional
True,True,False,True,True,False,False,True,False,True,False,False,bridge_comparison
True,True,True,True,True,False,True,True,False,True,False,False,comparison
True,True,False,True,False,False,True,True,False,True,False,False,inference
True,True,False,False,False,False,True,True,False,False,False,False,comparison
False,False,False,False,True,True,False,False,False,False,False,False,bridge_comparison
True,True,True,True,False,True,True,True,False,True,True,True,comparison
True,True,False,True,True,False,True,False,False,True,False,False,bridge_comparison
True,True,True,True,True,True,True,True,True,True,False,False,compositional
False,False,False,False,False,False,False,False,False,False,False,False,compositional
True,True,True,True,False,False,True,True,False,True,False,False,compositional
True,True,True,True,False,True,True,True,False,True,False,False,comparison
True,True,True,True,True,True,True,True,False,True,True,True,compositional
True,True,True,False,False,False,True,False,False,True,False,False,bridge_comparison
False,False,False,False,False,False,False,False,False,False,False,False,comparison
True,True,False,False,True,True,False,False,False,False,True,True,bridge_comparison
True,True,True,True,False,True,True,True,False,True,True,True,inference
True,True,True,True,False,False,True,False,False,True,False,True,inference
True,True,True,True,True,True,True,True,False,True,False,True,compositional
True,True,True,True,True,True,True,True,False,True,False,False,comparison
False,False,True,True,False,False,False,False,False,True,False,False,comparison
True,True,False,True,False,False,True,False,False,True,False,False,compositional
True,True,False,True,True,True,True,False,False,True,True,True,compositional
True,False,True,True,False,False,True,False,False,True,False,False,inference
True,True,True,True,True,True,True,False,False,True,True,True,compositional
True,True,True,True,False,False,True,True,False,True,False,False,comparison
False,False,False,False,False,False,False,False,False,False,False,False,comparison
True,True,False,False,True,True,True,True,False,True,False,False,comparison
True,True,False,False,True,True,False,False,False,False,True,True,compositional
True,True,False,False,True,True,False,False,True,True,False,False,compositional
True,True,True,True,True,True,True,False,False,True,True,True,compositional
False,False,True,True,True,True,False,False,False,False,False,True,compositional
True,True,False,False,False,False,True,True,False,False,False,False,compositional
True,True,False,True,True,True,False,True,False,True,False,False,comparison
True,True,True,True,True,True,True,True,False,True,False,True,compositional
False,False,False,False,False,False,False,False,False,False,False,False,compositional
True,True,True,True,True,True,True,True,False,True,False,False,comparison
True,True,False,False,False,False,True,True,False,True,False,False,comparison
True,True,True,True,True,True,True,False,False,False,False,False,compositional
True,False,True,True,False,False,False,True,False,True,False,False,compositional
True,True,False,True,False,False,True,True,False,True,False,False,compositional
True,True,True,True,True,True,True,True,False,True,True,False,comparison
True,True,True,True,True,True,True,True,False,True,True,True,compositional
True,True,True,True,False,True,True,False,False,True,True,True,compositional
True,True,True,True,False,False,True,False,False,False,True,False,comparison
True,True,True,True,True,True,True,True,False,True,True,True,compositional
True,True,True,True,False,True,True,True,False,True,False,True,compositional
True,True,True,True,True,True,True,False,True,True,False,True,compositional
False,False,True,True,True,True,True,False,False,False,False,False,bridge_comparison
True,True,True,True,True,False,True,True,False,True,False,False,bridge_comparison
True,True,False,True,False,False,False,True,False,True,False,False,comparison
True,True,True,True,True,False,True,True,False,True,False,False,comparison
True,True,True,True,False,False,True,False,False,True,False,False,inference
False,False,True,False,True,True,True,False,False,False,False,False,bridge_comparison
False,False,False,False,True,True,False,False,False,False,False,True,compositional
True,True,True,True,True,True,True,False,False,True,False,False,comparison
True,True,False,False,False,False,True,True,False,False,False,False,comparison
True,True,False,True,True,True,True,True,False,True,False,False,comparison
True,True,False,True,False,False,True,False,False,False,False,False,compositional
True,True,False,True,True,True,True,False,False,True,True,False,compositional
True,True,True,True,True,True,True,False,False,True,False,True,compositional
True,True,True,True,True,True,True,True,False,True,True,True,compositional
True,False,True,True,True,True,True,False,False,True,True,True,compositional
True,True,False,False,False,False,False,False,False,True,False,False,compositional
True,False,False,False,False,True,True,True,False,False,False,False,compositional
True,True,False,False,True,True,True,False,False,True,False,False,bridge_comparison
False,False,False,False,False,True,True,False,False,False,False,False,bridge_comparison
False,False,True,False,False,False,True,True,False,False,False,True,compositional
True,True,False,True,True,True,True,True,False,False,True,True,compositional
False,False,True,False,True,True,False,False,False,True,False,True,comparison
False,False,False,False,False,False,False,False,False,False,False,False,compositional
True,True,True,True,True,True,True,False,False,True,True,True,compositional
False,False,False,False,False,False,False,False,False,False,False,False,inference
True,True,True,True,False,False,True,False,False,True,False,False,inference
True,True,True,True,False,False,True,True,False,True,True,True,compositional
False,False,False,False,True,True,False,False,False,True,False,False,bridge_comparison
True,True,False,False,True,True,False,False,False,True,False,False,comparison
True,True,False,True,True,False,True,False,False,True,False,False,compositional
True,True,False,True,True,True,True,True,False,True,False,False,bridge_comparison
True,True,False,True,True,True,True,False,False,True,False,True,inference
True,True,False,True,False,False,True,True,False,False,False,False,comparison
True,True,True,True,False,False,True,True,False,True,False,False,bridge_comparison
True,True,False,True,False,True,True,False,True,True,True,False,compositional
False,True,True,False,False,False,True,True,False,True,False,False,comparison
True,True,True,True,False,False,True,True,False,True,False,False,comparison
True,True,True,True,False,True,True,True,False,True,False,False,compositional
False,False,False,False,True,True,False,False,False,True,False,False,bridge_comparison
True,True,False,True,False,False,True,False,False,True,False,False,comparison
True,True,True,True,False,False,True,True,False,True,False,False,comparison
False,False,False,False,True,True,False,False,False,True,False,False,comparison
True,True,True,True,True,True,True,False,True,True,True,True,compositional
True,False,True,True,True,True,True,True,False,True,True,True,compositional
True,True,True,True,True,True,False,False,False,True,False,False,compositional
True,True,True,True,True,True,True,False,False,True,False,True,compositional
True,True,True,True,True,True,True,False,False,True,False,True,compositional
True,False,True,False,False,False,False,True,False,False,False,False,bridge_comparison
True,True,True,True,False,False,False,False,False,False,False,False,bridge_comparison
True,True,False,True,True,True,True,False,False,True,False,False,comparison
False,False,True,False,False,False,False,True,True,True,False,False,compositional
True,True,False,True,False,False,True,True,False,True,True,False,compositional
True,True,True,True,True,True,True,False,True,True,False,True,compositional
True,True,False,True,True,True,True,False,False,False,False,False,comparison
True,True,False,True,False,False,True,True,False,True,False,False,comparison
True,True,True,True,False,False,True,False,False,True,False,False,bridge_comparison
True,True,False,True,False,False,False,False,False,False,True,True,bridge_comparison
True,True,False,False,False,False,True,False,False,True,False,False,inference
True,True,True,True,True,True,True,False,True,True,False,True,compositional
True,True,False,True,True,True,True,True,False,True,False,False,bridge_comparison
True,True,False,True,True,False,True,True,False,True,False,False,bridge_comparison
True,True,True,True,True,True,True,False,True,True,True,True,compositional
True,True,True,True,True,True,True,False,False,True,True,True,compositional
False,False,False,False,True,False,False,False,False,True,False,False,bridge_comparison
True,True,True,True,True,True,True,False,False,True,True,True,compositional
True,True,False,False,False,False,False,True,False,False,False,False,comparison
True,True,False,True,True,True,True,False,False,True,False,False,bridge_comparison
True,True,True,True,True,True,True,False,False,True,False,False,compositional
True,True,True,False,False,False,True,True,False,True,False,False,bridge_comparison
False,False,False,False,False,False,True,False,False,False,False,False,comparison
False,False,False,False,True,True,False,False,False,True,True,True,compositional
True,True,True,True,True,True,True,False,True,True,False,True,compositional
True,True,False,False,False,False,True,True,False,True,False,False,bridge_comparison
True,True,True,True,True,True,True,False,True,True,False,False,compositional
True,True,True,True,True,True,True,False,False,True,True,True,compositional
False,False,False,False,False,False,False,True,False,False,True,True,compositional
True,True,False,True,True,True,True,False,False,True,True,True,compositional
True,True,True,True,True,True,True,False,False,True,False,True,compositional
True,True,False,True,True,True,True,True,False,True,True,True,compositional
True,True,True,True,False,False,True,False,False,True,False,False,inference
True,True,True,True,True,True,True,False,False,True,True,True,compositional
True,True,False,False,False,False,True,True,False,True,False,False,inference
True,True,True,True,False,False,True,False,False,True,False,False,bridge_comparison
True,True,True,True,True,True,True,True,False,True,True,True,compositional
True,True,False,True,False,False,True,False,False,True,False,False,compositional
True,False,True,True,False,True,False,False,False,False,False,False,inference
False,False,False,False,False,False,False,False,False,True,False,False,bridge_comparison
True,True,False,True,True,True,True,True,False,True,True,True,compositional
True,True,False,True,True,True,True,True,False,True,False,True,compositional
True,True,True,True,True,True,True,False,False,True,False,False,compositional
False,False,False,True,True,True,True,True,False,True,True,True,comparison
False,False,False,False,False,False,False,False,False,False,False,True,compositional
False,False,False,False,False,False,False,False,False,False,False,False,compositional
True,True,True,True,False,True,True,False,False,True,False,False,inference
False,False,False,False,True,False,False,False,False,True,False,False,bridge_comparison
False,False,False,False,False,False,False,True,False,False,False,False,compositional
True,True,True,True,False,False,True,True,False,True,False,False,bridge_comparison
False,False,False,False,True,True,True,False,False,False,False,False,bridge_comparison
True,True,False,True,True,False,True,True,False,True,False,False,comparison
True,True,False,False,True,True,True,True,False,False,False,False,compositional
True,True,True,True,False,False,True,False,False,True,True,True,compositional
True,True,True,True,True,True,True,False,False,True,True,True,compositional
True,True,False,True,True,True,True,False,False,True,True,True,compositional
True,True,False,False,False,False,True,True,False,True,False,False,comparison
True,True,True,True,True,True,True,True,False,True,True,True,compositional
False,False,False,False,False,False,False,False,False,False,False,False,bridge_comparison
True,True,True,True,False,False,True,True,True,True,False,True,compositional
False,False,False,False,False,False,True,False,False,True,False,False,comparison
True,True,True,True,True,True,True,False,False,True,True,True,compositional
True,True,False,True,True,True,True,True,False,True,False,False,bridge_comparison
True,True,False,True,False,False,True,False,False,True,True,True,compositional
True,True,True,True,True,True,True,False,False,False,False,False,bridge_comparison
False,False,False,False,False,False,False,False,False,False,False,False,inference
True,True,False,False,False,True,True,False,False,False,False,False,bridge_comparison
True,True,True,True,False,False,True,True,False,True,False,True,compositional
True,True,True,True,True,False,True,False,False,True,False,True,inference
True,False,False,False,False,False,True,True,False,False,False,False,bridge_comparison
True,True,True,True,True,True,True,False,False,True,False,True,compositional
True,True,True,True,False,True,True,True,False,True,False,False,inference
True,True,True,True,True,True,True,False,False,True,False,True,compositional
True,True,True,False,True,True,False,False,False,False,False,False,bridge_comparison
True,False,False,True,False,False,True,False,False,True,False,False,compositional
True,False,True,True,True,True,True,False,False,True,False,True,inference
False,True,False,False,True,True,True,False,False,False,False,False,comparison
True,True,False,False,False,False,True,True,False,True,False,False,comparison
True,True,True,True,True,False,True,False,True,True,False,False,compositional
True,True,True,False,False,True,True,False,False,True,False,True,inference
True,True,True,True,True,True,True,False,False,False,False,False,bridge_comparison
True,True,True,True,True,True,True,True,False,True,False,False,comparison
True,True,True,True,False,False,True,True,True,True,False,False,compositional
True,True,True,True,False,False,True,False,False,True,False,False,comparison
True,True,True,True,True,True,True,True,False,True,False,False,comparison
True,True,False,False,False,False,True,False,False,True,False,False,inference
True,True,False,True,True,True,True,False,False,True,True,False,compositional
True,False,False,False,True,True,True,False,False,True,True,True,bridge_comparison
True,True,True,True,True,True,True,True,False,True,False,False,compositional
True,True,True,True,True,True,True,True,False,True,False,False,bridge_comparison
True,True,False,False,True,True,False,True,False,False,False,False,bridge_comparison
True,True,True,True,True,True,True,True,False,True,False,False,inference
True,True,True,True,True,True,True,True,False,True,True,True,compositional
True,True,True,True,True,True,True,False,False,True,False,False,comparison
True,True,True,True,False,True,True,False,False,True,False,False,inference
True,True,False,False,False,False,True,False,True,True,False,False,compositional
False,False,True,True,False,False,False,True,False,True,True,False,bridge_comparison
True,True,False,False,True,True,True,True,False,True,False,False,comparison
True,True,False,False,True,True,True,True,False,False,False,False,comparison
True,True,True,True,True,True,True,True,False,True,True,True,inference
True,False,True,True,True,True,True,True,True,True,True,True,compositional
True,False,False,False,False,False,False,True,False,False,False,False,comparison
True,True,True,True,False,False,True,False,False,True,False,False,inference
True,True,True,False,False,False,True,True,False,True,False,False,comparison
True,True,False,True,True,True,True,False,False,True,False,True,compositional
False,False,False,False,True,True,True,False,False,False,False,False,bridge_comparison
True,True,False,True,True,False,True,False,False,True,False,False,compositional
True,True,False,True,False,False,True,False,False,True,False,False,compositional
True,True,True,True,False,False,True,False,True,True,True,True,compositional
True,True,True,True,False,False,True,False,False,True,False,False,compositional
True,True,False,False,True,True,True,False,False,True,False,False,bridge_comparison
True,True,False,False,False,False,True,True,False,False,False,False,bridge_comparison
True,False,False,True,False,True,True,True,False,True,True,True,compositional
True,True,False,False,False,False,True,False,False,True,False,False,comparison
True,True,True,True,False,False,True,True,False,True,False,False,comparison
True,True,True,True,True,True,True,True,False,True,True,True,compositional
False,False,False,False,False,False,False,False,False,False,False,False,compositional
True,True,True,True,True,True,True,True,False,True,True,True,compositional
True,True,False,False,True,False,True,False,False,False,False,False,bridge_comparison
False,False,False,False,True,True,False,False,False,False,False,False,bridge_comparison
True,True,True,True,False,False,True,True,True,True,False,False,compositional
True,True,True,True,True,True,True,True,False,True,False,False,comparison
True,False,True,True,False,False,True,False,False,True,False,False,inference
True,True,True,True,False,False,False,False,True,True,True,True,compositional
True,True,False,True,False,True,True,False,False,False,False,False,bridge_comparison
False,True,False,True,True,False,True,False,False,True,False,False,comparison
False,False,True,True,False,False,False,True,False,False,False,True,compositional
False,False,False,False,True,True,False,True,False,False,False,False,comparison
False,False,False,False,True,True,False,False,False,False,True,True,compositional
False,False,False,False,False,False,False,False,False,False,True,True,compositional
True,False,True,True,True,True,True,True,False,True,False,False,inference
True,True,False,True,True,True,True,False,False,True,True,True,inference
True,False,True,True,True,True,True,True,True,True,True,True,compositional
True,False,False,True,False,False,True,True,True,True,False,False,compositional
False,False,False,False,False,False,True,False,False,False,False,False,bridge_comparison
True,True,False,False,False,False,False,False,False,False,False,False,comparison
True,True,False,True,False,False,True,False,False,True,False,False,compositional
True,True,True,True,True,True,False,False,False,True,True,True,compositional
True,True,True,True,False,False,False,False,False,True,False,False,inference
True,True,True,True,True,True,True,False,False,False,False,False,bridge_comparison
True,True,False,True,True,True,True,True,False,True,False,False,compositional
True,True,False,True,False,False,True,False,False,False,False,False,comparison
True,True,False,False,True,True,True,False,False,True,False,False,bridge_comparison
True,True,False,False,True,True,True,True,False,True,False,False,bridge_comparison
True,False,False,False,False,False,True,False,False,True,False,False,compositional
True,True,True,True,True,True,True,False,True,True,True,True,compositional
True,True,True,True,True,True,True,True,False,True,False,False,comparison
True,True,False,False,False,False,True,True,False,True,False,False,comparison
False,False,False,True,False,False,True,False,False,False,False,False,comparison
True,True,True,True,True,True,True,False,False,True,True,True,compositional
True,True,True,True,True,True,True,False,False,False,False,False,bridge_comparison
True,False,False,False,True,True,False,True,False,False,False,False,bridge_comparison
True,False,True,True,False,False,True,False,False,True,False,False,inference
True,True,False,True,True,True,True,True,False,True,True,True,compositional
True,False,False,True,True,True,True,False,False,True,True,False,compositional
True,True,False,False,False,False,True,False,False,True,True,True,compositional
True,True,True,True,True,True,True,False,False,True,False,False,compositional
True,True,False,True,True,True,True,True,False,True,True,True,compositional
False,True,False,False,False,False,True,False,False,False,False,False,inference
True,True,True,True,True,True,True,False,False,True,True,True,compositional
True,True,True,True,True,True,True,False,False,True,True,True,compositional
False,True,False,False,True,False,False,True,False,False,False,False,comparison
True,False,False,True,True,True,True,False,False,True,False,False,bridge_comparison
True,True,True,True,False,False,True,False,False,True,False,False,inference
True,True,False,True,True,True,True,False,False,True,False,False,bridge_comparison
True,True,True,True,True,True,False,False,False,True,False,True,bridge_comparison
False,False,False,False,False,True,True,True,False,True,False,False,bridge_comparison
True,True,True,True,True,True,True,False,False,True,True,True,compositional
True,False,False,False,True,True,False,True,False,True,False,False,bridge_comparison
False,False,False,False,False,False,False,False,False,True,False,False,bridge_comparison
False,False,False,False,False,False,False,False,False,False,False,False,comparison
True,True,True,True,False,False,False,False,False,True,False,False,inference
True,True,True,True,True,True,True,False,False,True,False,True,compositional
False,False,False,False,True,True,False,False,False,True,True,True,compositional
True,True,False,True,True,True,True,True,False,False,False,False,bridge_comparison
True,False,True,True,False,False,True,True,False,False,False,False,comparison
True,True,False,True,False,False,False,False,False,False,False,False,bridge_comparison
False,False,False,True,False,False,True,False,False,True,False,False,comparison
True,False,True,True,False,False,False,False,False,True,False,False,compositional
True,True,True,True,True,False,True,False,False,True,False,True,compositional
True,False,False,False,False,False,True,False,False,True,False,False,comparison
True,True,True,True,False,False,True,False,False,True,False,False,inference
True,False,True,False,True,True,False,False,False,False,False,False,bridge_comparison
True,True,True,True,False,False,True,True,False,True,False,False,comparison
True,True,True,True,False,False,True,False,False,True,False,False,inference
True,True,False,True,False,False,True,True,False,False,False,False,comparison
False,False,False,False,False,False,True,False,False,True,False,False,bridge_comparison
True,True,False,True,False,False,True,True,False,True,False,False,compositional
True,True,False,False,False,False,False,True,True,True,True,True,compositional
True,False,True,True,False,False,True,True,False,True,False,True,inference
True,True,False,False,False,False,False,False,False,True,False,False,inference
True,False,True,True,False,False,True,False,False,True,False,False,inference
True,False,False,False,False,False,False,False,False,False,True,False,bridge_comparison
True,True,False,False,True,True,True,True,False,False,False,False,bridge_comparison
True,False,True,True,True,True,True,False,False,True,False,True,compositional
False,False,False,True,True,True,True,False,False,True,False,False,bridge_comparison
False,False,False,False,True,False,False,True,False,False,True,True,compositional
False,False,False,False,False,False,False,False,False,False,False,False,bridge_comparison
True,True,False,True,True,True,True,False,False,True,True,True,compositional
False,True,False,False,False,False,True,False,False,False,False,False,bridge_comparison
True,True,False,True,False,False,True,True,True,True,False,False,compositional
False,False,True,True,False,False,False,True,False,False,False,False,comparison
True,True,True,True,False,False,True,True,False,False,False,False,bridge_comparison
True,True,False,False,False,False,True,False,False,True,False,False,compositional
False,False,False,False,False,True,False,True,False,False,False,False,bridge_comparison
True,True,True,True,True,True,True,False,True,True,True,False,compositional
True,True,False,True,True,True,True,True,False,True,False,False,bridge_comparison
True,True,True,True,False,False,True,True,False,True,False,False,comparison
False,True,False,True,True,True,True,False,False,True,True,False,bridge_comparison
True,True,True,False,True,True,False,False,False,True,False,True,inference
True,True,False,False,False,False,False,False,False,False,False,False,inference
True,True,False,False,True,True,True,False,True,True,False,False,compositional
True,True,True,True,True,True,True,False,False,True,False,True,compositional
True,True,True,True,False,False,True,False,False,True,True,True,compositional
False,False,False,True,False,False,True,True,False,True,False,False,comparison
False,False,False,True,True,True,True,False,False,True,True,True,compositional
False,False,False,False,False,False,False,False,False,False,False,False,compositional
True,True,True,True,False,False,True,True,False,True,False,False,comparison
False,False,False,True,False,False,False,False,False,True,True,False,bridge_comparison
True,True,True,True,True,True,True,False,False,True,False,True,compositional
True,False,True,True,True,True,True,False,False,True,True,True,compositional
True,True,False,False,False,False,True,False,False,False,False,False,comparison
True,True,True,True,False,False,False,False,True,True,True,True,compositional
False,False,False,False,False,False,False,False,False,True,False,False,compositional
True,True,True,False,True,True,True,True,False,True,True,True,comparison
True,False,False,True,False,False,True,False,False,False,False,False,inference
False,False,False,False,False,False,False,False,False,False,False,False,compositional
True,True,False,False,False,False,True,True,False,True,False,False,comparison
True,True,False,False,False,False,True,False,False,True,False,False,bridge_comparison
False,False,True,True,False,False,True,False,True,True,True,True,compositional
True,True,False,True,False,False,True,True,False,True,False,False,compositional
True,True,False,True,True,True,True,False,False,False,False,False,bridge_comparison
True,True,True,True,True,True,True,True,False,True,False,True,compositional
True,True,True,True,False,False,True,True,False,True,False,False,compositional
True,True,True,True,True,True,True,False,False,True,False,True,compositional
True,True,False,True,True,True,True,False,False,True,False,False,bridge_comparison
True,True,True,True,False,False,True,False,False,True,False,False,comparison
True,True,True,True,True,False,True,False,False,True,False,False,compositional
True,True,True,True,False,False,True,True,False,True,False,False,comparison
True,True,True,True,False,False,True,False,False,True,False,False,inference
True,True,False,False,False,False,True,False,False,True,False,False,compositional
True,False,True,True,True,True,True,True,False,True,True,True,compositional
True,True,True,True,False,False,True,False,False,True,True,True,compositional
True,True,True,True,False,False,True,False,False,False,False,False,compositional
True,True,True,True,False,False,True,True,False,True,False,False,inference
True,True,True,False,False,False,True,False,False,True,False,False,compositional
True,True,True,True,True,True,True,True,False,True,True,True,compositional
True,True,False,True,False,False,False,False,False,True,False,False,compositional
False,False,False,False,False,True,False,False,False,False,False,False,compositional
True,True,False,True,True,True,True,False,False,True,True,True,compositional
True,True,False,True,False,False,True,False,False,True,False,False,bridge_comparison
False,False,False,False,True,False,False,True,False,False,False,False,bridge_comparison
False,False,False,True,True,False,True,False,False,True,False,False,bridge_comparison
True,False,True,True,True,False,True,True,False,True,False,False,comparison
False,False,False,False,False,False,True,False,True,True,True,False,compositional
True,True,False,False,False,False,True,True,False,True,False,False,bridge_comparison
False,False,False,True,False,False,False,False,False,False,False,False,bridge_comparison
True,True,False,True,True,True,True,False,False,True,False,False,bridge_comparison
True,True,True,True,True,True,False,False,False,True,False,False,compositional
True,True,False,False,True,True,False,False,False,False,False,True,bridge_comparison
False,False,False,False,False,True,False,False,False,False,False,False,bridge_comparison
False,False,True,True,True,True,True,True,False,False,True,True,compositional
False,False,False,False,True,True,False,True,False,True,False,False,bridge_comparison
True,False,True,True,False,True,True,False,False,True,False,False,comparison
True,False,True,True,True,True,True,True,False,True,True,True,inference
True,False,False,True,False,False,True,True,False,True,False,False,compositional
False,False,False,False,False,False,False,False,False,False,False,False,compositional
True,True,False,True,False,False,True,False,False,False,False,False,bridge_comparison
True,True,True,True,True,True,True,True,False,True,False,True,compositional
True,True,True,True,True,True,False,True,False,False,True,True,bridge_comparison
False,False,False,False,True,True,True,True,False,False,False,False,bridge_comparison
True,True,True,True,True,True,True,True,True,True,True,False,compositional
True,True,False,False,False,True,False,False,False,True,False,False,bridge_comparison
False,False,True,False,False,False,False,False,False,False,False,False,comparison
False,False,False,False,True,True,False,True,False,False,False,True,bridge_comparison
True,True,True,True,True,True,True,False,False,True,True,True,compositional
True,True,True,True,True,True,True,True,False,True,False,False,comparison
True,True,True,True,True,True,True,False,True,True,True,True,compositional
False,False,True,False,False,True,False,False,False,False,False,False,compositional
False,False,False,True,True,True,False,False,False,False,True,True,compositional
True,True,True,True,False,False,True,False,False,True,False,False,inference
True,True,False,False,False,False,False,True,False,True,False,False,compositional
False,False,False,False,True,False,True,False,False,False,True,True,compositional
True,False,True,True,True,True,False,False,True,True,False,False,compositional
True,True,True,True,False,False,True,True,False,True,False,False,compositional
False,False,False,False,True,True,False,False,False,True,False,False,comparison
True,True,False,False,False,False,False,True,False,True,False,False,bridge_comparison
True,True,True,True,False,False,True,False,False,True,False,False,comparison
True,True,False,True,True,True,True,True,False,True,True,True,compositional
True,True,True,True,False,False,True,True,True,True,True,True,compositional
True,True,False,True,False,False,True,False,False,True,False,False,bridge_comparison
True,False,True,True,True,False,True,False,False,True,False,False,bridge_comparison
True,False,False,True,False,False,False,False,False,False,False,False,bridge_comparison
False,False,False,True,False,False,False,True,False,False,False,False,inference
True,True,True,True,False,False,True,False,False,True,False,False,inference
True,True,False,False,False,False,False,False,False,False,False,False,comparison
True,True,True,True,False,True,True,True,False,True,False,False,comparison
True,True,False,False,True,True,True,True,False,False,True,False,bridge_comparison
True,True,True,True,True,True,True,False,True,True,True,True,compositional
False,False,False,False,False,False,False,False,False,False,False,False,compositional
True,True,True,True,False,False,True,False,False,True,False,False,inference
False,False,False,False,False,False,True,True,False,False,False,False,comparison
True,True,True,True,False,True,True,True,False,False,False,False,compositional
True,True,True,True,True,True,True,False,False,True,False,True,compositional
True,False,False,False,True,False,True,False,False,True,False,False,bridge_comparison
True,True,True,True,False,False,True,False,True,True,True,True,compositional
True,True,False,True,True,True,True,True,False,False,False,True,compositional
True,True,True,True,False,False,True,True,False,True,False,False,inference
False,True,False,False,True,False,False,False,False,True,False,False,comparison
True,True,True,True,False,False,True,False,False,True,False,False,inference
